"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.045830,0,33,0,0,,1.000000
37,,1028.172602,1039.827095,0,33,0,0,yes,1.000000
36,,0.000000,33.000000,0,33,0,0,,1.000000
35,,0.000000,46.167317,0,33,0,0,,1.000000
34,,0.000000,1601.946742,0,33,0,0,,1.000000
33,,0.000000,6025.000000,0,33,0,0,,1.000000
32,,0.000000,54.249801,0,33,0,0,,1.000000
31,,0.000000,54.249801,0,33,0,0,,1.000000
30,,0.000000,0.118470,0,33,0,0,,1.000000
29,,0.000000,0.142779,0,33,0,0,,1.000000
28,,0.000000,46.167317,0,33,0,0,,1.000000
27,,0.000000,4103.998172,0,33,0,0,,1.000000
26,,0.000000,6025.000000,0,33,0,0,,1.000000
25,,83.960600,111.671000,0,2,0,0,yes,1.000000
24,,208.627000,221.866000,0,11,0,0,yes,1.000000
23,,111.385700,112.390000,0,9,0,0,yes,1.000000
22,,47.074880,52.649800,0,6,0,0,yes,1.000000
21,,25.215290,26.793400,0,4,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,20000.000000,0,2,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,20000.000000,0,2,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,40000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,30000.000000,0,3,0,0,yes,1.000000
13,,7000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,4000.000000,20000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,3950000.000000,0,2,0,0,yes,1.000000
8,,155863000.000000,156990000.000000,0,3,0,0,yes,1.000000
7,,141523000.000000,142730000.000000,0,5,0,0,yes,1.000000
6,,10969000.000000,18390000.000000,0,4,0,0,yes,1.000000
5,,1726000.000000,2260000.000000,0,2,0,0,yes,1.000000
4,,1458000.000000,2140000.000000,0,4,0,0,yes,1.000000
3,,1713000.000000,3930000.000000,0,2,0,0,yes,1.000000
2,,17408000.000000,23300000.000000,0,2,0,0,yes,1.000000
1,,79138000.000000,229210000.000000,0,13,0,0,yes,1.000000
