"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.257610,0,85,0,0,,1.000000
37,,0.000000,2515.889935,0,84,0,0,,1.000000
36,,0.000000,85.000000,0,85,0,0,,1.000000
35,,324.595799,324.602526,0,85,0,0,yes,1.000000
34,,0.000000,3920.543190,0,84,0,0,,1.000000
33,,0.000000,14706.000000,0,85,0,0,,1.000000
32,,0.000000,302.189536,0,85,0,0,,1.000000
31,,0.000000,302.189536,0,85,0,0,,1.000000
30,,0.000000,0.664445,0,85,0,0,,1.000000
29,,0.000000,0.397133,0,85,0,0,,1.000000
28,,0.000000,324.602526,0,85,0,0,,1.000000
27,,0.000000,18543.499809,0,85,0,0,,1.000000
26,,0.000000,14706.000000,0,85,0,0,,1.000000
25,,83.960600,216.336000,0,5,0,0,yes,1.000000
24,,208.627000,593.876000,0,29,0,0,yes,1.000000
23,,111.385700,355.083000,0,28,0,0,yes,1.000000
22,,47.074880,105.041000,0,12,0,0,yes,1.000000
21,,25.215290,40.193100,0,7,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,30000.000000,0,2,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,80000.000000,0,8,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,40000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,100000.000000,0,7,0,0,yes,1.000000
13,,7000.000000,40000.000000,0,3,0,0,yes,1.000000
12,,4000.000000,10000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,1850000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,1370220000.000000,0,40,0,0,yes,1.000000
7,,141523000.000000,1113520000.000000,0,22,0,0,yes,1.000000
6,,10969000.000000,16410000.000000,0,1,0,0,yes,1.000000
5,,1726000.000000,1780000.000000,0,1,0,0,yes,1.000000
4,,1458000.000000,1690000.000000,0,3,0,0,yes,1.000000
3,,1713000.000000,16160000.000000,0,4,0,0,yes,1.000000
2,,17408000.000000,76710000.000000,0,5,0,0,yes,1.000000
1,,79138000.000000,537760000.000000,0,20,0,0,yes,1.000000
