"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.228022,0,62,0,0,,1.000000
37,,0.000000,1766.848036,0,61,0,0,,1.000000
36,,0.000000,62.000000,0,62,0,0,,1.000000
35,,0.000000,285.467216,0,62,0,0,,1.000000
34,,0.000000,2810.992365,0,61,0,0,,1.000000
33,,0.000000,10741.000000,0,62,0,0,,1.000000
32,,288.529599,288.694750,0,62,0,0,yes,1.000000
31,,0.000000,288.694750,0,62,0,0,,1.000000
30,,0.000000,0.486591,0,62,0,0,,1.000000
29,,0.000000,0.383819,0,62,0,0,,1.000000
28,,0.000000,285.467216,0,62,0,0,,1.000000
27,,0.000000,15770.326339,0,62,0,0,,1.000000
26,,0.000000,10741.000000,0,62,0,0,,1.000000
25,,83.960600,210.630000,0,5,0,0,yes,1.000000
24,,208.627000,372.002000,0,18,0,0,yes,1.000000
23,,111.385700,255.396000,0,20,0,0,yes,1.000000
22,,47.074880,76.722300,0,9,0,0,yes,1.000000
21,,25.215290,37.152400,0,6,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,20000.000000,0,1,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,50000.000000,0,5,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,70000.000000,0,4,0,0,yes,1.000000
14,,17000.000000,40000.000000,0,2,0,0,yes,1.000000
13,,7000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,4000.000000,10000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,6170000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,1185800000.000000,0,28,0,0,yes,1.000000
7,,141523000.000000,948160000.000000,0,22,0,0,yes,1.000000
6,,10969000.000000,16410000.000000,0,1,0,0,yes,1.000000
5,,1726000.000000,6290000.000000,0,2,0,0,yes,1.000000
4,,1458000.000000,2020000.000000,0,2,0,0,yes,1.000000
3,,1713000.000000,16160000.000000,0,4,0,0,yes,1.000000
2,,17408000.000000,57240000.000000,0,4,0,0,yes,1.000000
1,,79138000.000000,397300000.000000,0,10,0,0,yes,1.000000
