"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.054207,0,60,0,0,,1.000000
37,,0.000000,1937.006238,0,60,0,0,,1.000000
36,,0.000000,60.000000,0,60,0,0,,1.000000
35,,0.000000,47.366691,0,60,0,0,,1.000000
34,,0.000000,2949.205122,0,60,0,0,,1.000000
33,,11550.600000,11586.000000,0,60,0,0,yes,1.000000
32,,0.000000,52.225987,0,60,0,0,,1.000000
31,,0.000000,52.225987,0,60,0,0,,1.000000
30,,0.000000,0.174807,0,60,0,0,,1.000000
29,,0.000000,0.108317,0,60,0,0,,1.000000
28,,0.000000,47.366691,0,60,0,0,,1.000000
27,,0.000000,12191.126849,0,60,0,0,,1.000000
26,,0.000000,11586.000000,0,60,0,0,,1.000000
25,,83.960600,182.365000,0,5,0,0,yes,1.000000
24,,208.627000,346.628000,0,16,0,0,yes,1.000000
23,,111.385700,208.031000,0,16,0,0,yes,1.000000
22,,47.074880,82.457700,0,10,0,0,yes,1.000000
21,,25.215290,58.954400,0,10,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,10000.000000,0,1,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,20000.000000,0,2,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,20000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,20000.000000,0,2,0,0,yes,1.000000
13,,7000.000000,20000.000000,0,2,0,0,yes,1.000000
12,,4000.000000,10000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,6170000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,268050000.000000,0,8,0,0,yes,1.000000
7,,141523000.000000,158380000.000000,0,20,0,0,yes,1.000000
6,,10969000.000000,32510000.000000,0,6,0,0,yes,1.000000
5,,1726000.000000,7530000.000000,0,4,0,0,yes,1.000000
4,,1458000.000000,6420000.000000,0,7,0,0,yes,1.000000
3,,1713000.000000,3930000.000000,0,2,0,0,yes,1.000000
2,,17408000.000000,42810000.000000,0,4,0,0,yes,1.000000
1,,79138000.000000,210970000.000000,0,12,0,0,yes,1.000000
