"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.144981,0,49,0,0,,1.000000
37,,0.000000,1425.696526,0,48,0,0,,1.000000
36,,0.000000,49.000000,0,49,0,0,,1.000000
35,,0.000000,246.162180,0,49,0,0,,1.000000
34,,0.000000,2201.039490,0,48,0,0,,1.000000
33,,0.000000,8625.000000,0,49,0,0,,1.000000
32,,0.000000,198.844204,0,49,0,0,,1.000000
31,,0.000000,198.844204,0,49,0,0,,1.000000
30,,0.500000,0.500286,0,49,0,0,yes,1.000000
29,,0.000000,0.238116,0,49,0,0,,1.000000
28,,0.000000,246.162180,0,49,0,0,,1.000000
27,,0.000000,9619.447589,0,49,0,0,,1.000000
26,,0.000000,8625.000000,0,49,0,0,,1.000000
25,,83.960600,193.557000,0,4,0,0,yes,1.000000
24,,208.627000,324.768000,0,16,0,0,yes,1.000000
23,,111.385700,196.051000,0,15,0,0,yes,1.000000
22,,47.074880,51.298700,0,6,0,0,yes,1.000000
21,,25.215290,29.812600,0,5,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,20000.000000,0,2,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,40000.000000,0,4,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,40000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,80000.000000,0,5,0,0,yes,1.000000
13,,7000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,4000.000000,20000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,2360000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,767600000.000000,0,17,0,0,yes,1.000000
7,,141523000.000000,909760000.000000,0,16,0,0,yes,1.000000
6,,10969000.000000,26360000.000000,0,2,0,0,yes,1.000000
5,,1726000.000000,6290000.000000,0,2,0,0,yes,1.000000
4,,1458000.000000,3650000.000000,0,2,0,0,yes,1.000000
3,,1713000.000000,10870000.000000,0,3,0,0,yes,1.000000
2,,17408000.000000,37280000.000000,0,3,0,0,yes,1.000000
1,,79138000.000000,401960000.000000,0,12,0,0,yes,1.000000
