"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.070170,0,32,0,0,,1.000000
37,,0.000000,972.156788,0,32,0,0,,1.000000
36,,0.000000,32.000000,0,32,0,0,,1.000000
35,,144.264799,145.138844,0,32,0,0,yes,1.000000
34,,0.000000,1453.033573,0,31,0,0,,1.000000
33,,0.000000,5598.000000,0,32,0,0,,1.000000
32,,0.000000,88.768459,0,32,0,0,,1.000000
31,,0.000000,88.768459,0,32,0,0,,1.000000
30,,0.000000,0.227340,0,32,0,0,,1.000000
29,,0.000000,0.118569,0,32,0,0,,1.000000
28,,0.000000,145.138844,0,32,0,0,,1.000000
27,,0.000000,6189.130333,0,32,0,0,,1.000000
26,,0.000000,5598.000000,0,32,0,0,,1.000000
25,,83.960600,151.857000,0,3,0,0,yes,1.000000
24,,208.627000,213.377000,0,10,0,0,yes,1.000000
23,,111.385700,112.141000,0,8,0,0,yes,1.000000
22,,47.074880,51.221500,0,6,0,0,yes,1.000000
21,,25.215290,26.525200,0,4,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,10000.000000,0,1,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,30000.000000,0,3,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,40000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,50000.000000,0,3,0,0,yes,1.000000
13,,7000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,4000.000000,20000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,2360000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,368270000.000000,0,8,0,0,yes,1.000000
7,,141523000.000000,451320000.000000,0,9,0,0,yes,1.000000
6,,10969000.000000,13730000.000000,0,2,0,0,yes,1.000000
5,,1726000.000000,7070000.000000,0,3,0,0,yes,1.000000
4,,1458000.000000,1730000.000000,0,2,0,0,yes,1.000000
3,,1713000.000000,3930000.000000,0,2,0,0,yes,1.000000
2,,17408000.000000,24700000.000000,0,3,0,0,yes,1.000000
1,,79138000.000000,269620000.000000,0,7,0,0,yes,1.000000
