"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.238395,0,49,0,0,,1.000000
37,,0.000000,1440.667949,0,48,0,0,,1.000000
36,,0.000000,49.000000,0,49,0,0,,1.000000
35,,0.000000,111.769450,0,49,0,0,,1.000000
34,,0.000000,2335.432246,0,49,0,0,,1.000000
33,,0.000000,8259.000000,0,49,0,0,,1.000000
32,,0.000000,183.874492,0,49,0,0,,1.000000
31,,0.000000,183.874492,0,49,0,0,,1.000000
30,,0.000000,0.227053,0,49,0,0,,1.000000
29,,0.518000,0.519884,0,49,0,0,yes,1.000000
28,,0.000000,111.769450,0,49,0,0,,1.000000
27,,0.000000,11718.838741,0,48,0,0,,1.000000
26,,0.000000,8259.000000,0,49,0,0,,1.000000
25,,83.960600,97.228000,0,3,0,0,yes,1.000000
24,,208.627000,223.243000,0,11,0,0,yes,1.000000
23,,111.385700,228.208000,0,18,0,0,yes,1.000000
22,,47.074880,52.974800,0,6,0,0,yes,1.000000
21,,25.215290,50.516500,0,8,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,20000.000000,0,1,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,50000.000000,0,5,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,20000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,20000.000000,0,2,0,0,yes,1.000000
13,,7000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,4000.000000,20000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,2360000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,891040000.000000,0,18,0,0,yes,1.000000
7,,141523000.000000,406020000.000000,0,11,0,0,yes,1.000000
6,,10969000.000000,18960000.000000,0,2,0,0,yes,1.000000
5,,1726000.000000,10730000.000000,0,4,0,0,yes,1.000000
4,,1458000.000000,1730000.000000,0,2,0,0,yes,1.000000
3,,1713000.000000,3930000.000000,0,2,0,0,yes,1.000000
2,,17408000.000000,63200000.000000,0,7,0,0,yes,1.000000
1,,79138000.000000,361730000.000000,0,9,0,0,yes,1.000000
