"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.057929,0,64,0,0,,1.000000
37,,2056.345203,2064.088504,0,64,0,0,yes,1.000000
36,,0.000000,64.000000,0,64,0,0,,1.000000
35,,0.000000,41.510934,0,64,0,0,,1.000000
34,,0.000000,3154.832284,0,64,0,0,,1.000000
33,,0.000000,11572.000000,0,64,0,0,,1.000000
32,,0.000000,57.759804,0,64,0,0,,1.000000
31,,0.000000,57.759804,0,64,0,0,,1.000000
30,,0.000000,0.167313,0,64,0,0,,1.000000
29,,0.000000,0.110473,0,64,0,0,,1.000000
28,,0.000000,41.510934,0,64,0,0,,1.000000
27,,0.000000,11479.583671,0,64,0,0,,1.000000
26,,0.000000,11572.000000,0,64,0,0,,1.000000
25,,83.960600,207.224000,0,5,0,0,yes,1.000000
24,,208.627000,351.313000,0,17,0,0,yes,1.000000
23,,111.385700,181.353000,0,15,0,0,yes,1.000000
22,,47.074880,103.368100,0,12,0,0,yes,1.000000
21,,25.215290,55.241600,0,9,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,10000.000000,0,1,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,20000.000000,0,2,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,20000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,20000.000000,0,2,0,0,yes,1.000000
13,,7000.000000,30000.000000,0,2,0,0,yes,1.000000
12,,4000.000000,30000.000000,0,2,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,5450000.000000,0,4,0,0,yes,1.000000
8,,155863000.000000,174710000.000000,0,13,0,0,yes,1.000000
7,,141523000.000000,167510000.000000,0,17,0,0,yes,1.000000
6,,10969000.000000,14750000.000000,0,9,0,0,yes,1.000000
5,,1726000.000000,6760000.000000,0,3,0,0,yes,1.000000
4,,1458000.000000,1590000.000000,0,3,0,0,yes,1.000000
3,,1713000.000000,10190000.000000,0,4,0,0,yes,1.000000
2,,17408000.000000,31130000.000000,0,6,0,0,yes,1.000000
1,,79138000.000000,343170000.000000,0,10,0,0,yes,1.000000
