"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.204993,0,55,0,0,,1.000000
37,,0.000000,1569.776056,0,54,0,0,,1.000000
36,,0.000000,55.000000,0,55,0,0,,1.000000
35,,288.529599,288.587138,0,55,0,0,yes,1.000000
34,,0.000000,2458.272037,0,54,0,0,,1.000000
33,,0.000000,9350.000000,0,55,0,0,,1.000000
32,,0.000000,253.687628,0,55,0,0,,1.000000
31,,0.000000,253.687628,0,55,0,0,,1.000000
30,,0.000000,0.506131,0,55,0,0,,1.000000
29,,0.000000,0.303737,0,55,0,0,,1.000000
28,,0.000000,288.587138,0,55,0,0,,1.000000
27,,0.000000,12051.332159,0,55,0,0,,1.000000
26,,0.000000,9350.000000,0,55,0,0,,1.000000
25,,83.960600,173.898000,0,4,0,0,yes,1.000000
24,,208.627000,392.089000,0,19,0,0,yes,1.000000
23,,111.385700,240.463000,0,19,0,0,yes,1.000000
22,,47.074880,50.092600,0,6,0,0,yes,1.000000
21,,25.215290,31.645400,0,5,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,10000.000000,0,1,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,60000.000000,0,6,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,50000.000000,0,3,0,0,yes,1.000000
14,,17000.000000,60000.000000,0,3,0,0,yes,1.000000
13,,7000.000000,30000.000000,0,2,0,0,yes,1.000000
12,,4000.000000,30000.000000,0,2,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,2360000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,1140310000.000000,0,25,0,0,yes,1.000000
7,,141523000.000000,878070000.000000,0,16,0,0,yes,1.000000
6,,10969000.000000,16410000.000000,0,1,0,0,yes,1.000000
5,,1726000.000000,1780000.000000,0,1,0,0,yes,1.000000
4,,1458000.000000,1690000.000000,0,3,0,0,yes,1.000000
3,,1713000.000000,16160000.000000,0,4,0,0,yes,1.000000
2,,17408000.000000,60710000.000000,0,4,0,0,yes,1.000000
1,,79138000.000000,375740000.000000,0,11,0,0,yes,1.000000
