"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.332952,0,289,0,0,,1.000000
37,,0.000000,9280.978130,0,289,0,0,,1.000000
36,,288.900000,289.000000,0,289,0,0,yes,1.000000
35,,0.000000,326.525314,0,289,0,0,,1.000000
34,,0.000000,14106.961484,0,288,0,0,,1.000000
33,,0.000000,52210.000000,0,289,0,0,,1.000000
32,,0.000000,300.486609,0,289,0,0,,1.000000
31,,0.000000,300.486609,0,289,0,0,,1.000000
30,,0.000000,0.879477,0,289,0,0,,1.000000
29,,0.000000,0.606432,0,289,0,0,,1.000000
28,,0.000000,326.525314,0,289,0,0,,1.000000
27,,0.000000,52342.526426,0,287,0,0,,1.000000
26,,0.000000,52210.000000,0,289,0,0,,1.000000
25,,83.960600,687.986000,0,17,0,0,yes,1.000000
24,,208.627000,1915.339000,0,91,0,0,yes,1.000000
23,,111.385700,1024.181000,0,82,0,0,yes,1.000000
22,,47.074880,418.328200,0,49,0,0,yes,1.000000
21,,25.215290,217.021600,0,36,0,0,yes,1.000000
20,,2000.000000,20000.000000,0,2,0,0,yes,1.000000
19,,8000.000000,80000.000000,0,7,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,140000.000000,0,13,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,110000.000000,0,8,0,0,yes,1.000000
14,,17000.000000,150000.000000,0,12,0,0,yes,1.000000
13,,7000.000000,70000.000000,0,5,0,0,yes,1.000000
12,,4000.000000,40000.000000,0,3,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,14220000.000000,0,9,0,0,yes,1.000000
8,,155863000.000000,1399730000.000000,0,63,0,0,yes,1.000000
7,,141523000.000000,1165670000.000000,0,72,0,0,yes,1.000000
6,,10969000.000000,109690000.000000,0,43,0,0,yes,1.000000
5,,1726000.000000,16000000.000000,0,16,0,0,yes,1.000000
4,,1458000.000000,13590000.000000,0,19,0,0,yes,1.000000
3,,1713000.000000,17130000.000000,0,5,0,0,yes,1.000000
2,,17408000.000000,156960000.000000,0,23,0,0,yes,1.000000
1,,79138000.000000,775560000.000000,0,55,0,0,yes,1.000000
