"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.269829,0,287,0,0,,1.000000
37,,0.000000,9213.149824,0,286,0,0,,1.000000
36,,0.000000,287.000000,0,287,0,0,,1.000000
35,,0.000000,227.911011,0,287,0,0,,1.000000
34,,14103.896839,14105.690109,0,287,0,0,yes,1.000000
33,,0.000000,51919.000000,0,287,0,0,,1.000000
32,,0.000000,302.007317,0,287,0,0,,1.000000
31,,0.000000,302.007317,0,287,0,0,,1.000000
30,,0.000000,0.800120,0,287,0,0,,1.000000
29,,0.000000,0.574229,0,287,0,0,,1.000000
28,,0.000000,227.911011,0,287,0,0,,1.000000
27,,0.000000,52283.724331,0,286,0,0,,1.000000
26,,0.000000,51919.000000,0,287,0,0,,1.000000
25,,83.960600,758.090000,0,20,0,0,yes,1.000000
24,,208.627000,1797.691000,0,85,0,0,yes,1.000000
23,,111.385700,995.970000,0,80,0,0,yes,1.000000
22,,47.074880,427.996800,0,50,0,0,yes,1.000000
21,,25.215290,224.569200,0,38,0,0,yes,1.000000
20,,2000.000000,20000.000000,0,2,0,0,yes,1.000000
19,,8000.000000,60000.000000,0,5,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,110000.000000,0,10,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,80000.000000,0,7,0,0,yes,1.000000
14,,17000.000000,120000.000000,0,11,0,0,yes,1.000000
13,,7000.000000,40000.000000,0,3,0,0,yes,1.000000
12,,4000.000000,30000.000000,0,2,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,9100000.000000,0,10,0,0,yes,1.000000
8,,155863000.000000,1172970000.000000,0,59,0,0,yes,1.000000
7,,141523000.000000,1068680000.000000,0,79,0,0,yes,1.000000
6,,10969000.000000,92120000.000000,0,39,0,0,yes,1.000000
5,,1726000.000000,16750000.000000,0,17,0,0,yes,1.000000
4,,1458000.000000,11300000.000000,0,22,0,0,yes,1.000000
3,,1713000.000000,17130000.000000,0,5,0,0,yes,1.000000
2,,17408000.000000,151160000.000000,0,23,0,0,yes,1.000000
1,,79138000.000000,628440000.000000,0,47,0,0,yes,1.000000
