"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.129796,0,42,0,0,,1.000000
37,,0.000000,1192.761320,0,41,0,0,,1.000000
36,,0.000000,42.000000,0,42,0,0,,1.000000
35,,252.463399,252.665495,0,42,0,0,yes,1.000000
34,,0.000000,1844.936382,0,41,0,0,,1.000000
33,,0.000000,7104.000000,0,42,0,0,,1.000000
32,,0.000000,199.703335,0,42,0,0,,1.000000
31,,0.000000,199.703335,0,42,0,0,,1.000000
30,,0.000000,0.402531,0,42,0,0,,1.000000
29,,0.000000,0.169071,0,42,0,0,,1.000000
28,,0.000000,252.665495,0,42,0,0,,1.000000
27,,0.000000,9844.658131,0,42,0,0,,1.000000
26,,0.000000,7104.000000,0,42,0,0,,1.000000
25,,83.960600,111.857000,0,2,0,0,yes,1.000000
24,,208.627000,225.438000,0,12,0,0,yes,1.000000
23,,111.385700,165.168000,0,13,0,0,yes,1.000000
22,,47.074880,68.471900,0,8,0,0,yes,1.000000
21,,25.215290,30.095900,0,5,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,10000.000000,0,1,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,40000.000000,0,4,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,40000.000000,0,2,0,0,yes,1.000000
14,,17000.000000,70000.000000,0,4,0,0,yes,1.000000
13,,7000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,4000.000000,20000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,2360000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,850780000.000000,0,21,0,0,yes,1.000000
7,,141523000.000000,684980000.000000,0,10,0,0,yes,1.000000
6,,10969000.000000,16410000.000000,0,1,0,0,yes,1.000000
5,,1726000.000000,6290000.000000,0,2,0,0,yes,1.000000
4,,1458000.000000,2020000.000000,0,2,0,0,yes,1.000000
3,,1713000.000000,16160000.000000,0,4,0,0,yes,1.000000
2,,17408000.000000,44890000.000000,0,3,0,0,yes,1.000000
1,,79138000.000000,244690000.000000,0,6,0,0,yes,1.000000
