"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.259706,0,83,0,0,,1.000000
37,,0.000000,2445.028972,0,82,0,0,,1.000000
36,,0.000000,83.000000,0,83,0,0,,1.000000
35,,0.000000,324.609270,0,83,0,0,,1.000000
34,,0.000000,3820.650681,0,82,0,0,,1.000000
33,,0.000000,14422.000000,0,83,0,0,,1.000000
32,,0.000000,306.742780,0,83,0,0,,1.000000
31,,0.000000,306.742780,0,83,0,0,,1.000000
30,,0.000000,0.653020,0,83,0,0,,1.000000
29,,0.000000,0.405692,0,83,0,0,,1.000000
28,,324.595799,324.609270,0,83,0,0,yes,1.000000
27,,0.000000,18083.661854,0,83,0,0,,1.000000
26,,0.000000,14422.000000,0,83,0,0,,1.000000
25,,83.960600,173.898000,0,4,0,0,yes,1.000000
24,,208.627000,581.884000,0,28,0,0,yes,1.000000
23,,111.385700,337.773000,0,27,0,0,yes,1.000000
22,,47.074880,118.099200,0,14,0,0,yes,1.000000
21,,25.215290,37.958600,0,6,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,30000.000000,0,2,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,80000.000000,0,8,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,60000.000000,0,3,0,0,yes,1.000000
14,,17000.000000,90000.000000,0,6,0,0,yes,1.000000
13,,7000.000000,50000.000000,0,3,0,0,yes,1.000000
12,,4000.000000,20000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,2360000.000000,0,1,0,0,yes,1.000000
8,,155863000.000000,1361920000.000000,0,37,0,0,yes,1.000000
7,,141523000.000000,1121440000.000000,0,24,0,0,yes,1.000000
6,,10969000.000000,30310000.000000,0,3,0,0,yes,1.000000
5,,1726000.000000,1780000.000000,0,1,0,0,yes,1.000000
4,,1458000.000000,2230000.000000,0,3,0,0,yes,1.000000
3,,1713000.000000,16160000.000000,0,4,0,0,yes,1.000000
2,,17408000.000000,76710000.000000,0,5,0,0,yes,1.000000
1,,79138000.000000,546780000.000000,0,19,0,0,yes,1.000000
