"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
38,,0.000000,0.129192,0,127,0,0,,1.000000
37,,4112.690406,4114.425849,0,127,0,0,yes,1.000000
36,,0.000000,127.000000,0,127,0,0,,1.000000
35,,0.000000,71.209968,0,127,0,0,,1.000000
34,,0.000000,6271.533624,0,127,0,0,,1.000000
33,,0.000000,22820.000000,0,127,0,0,,1.000000
32,,0.000000,96.114849,0,127,0,0,,1.000000
31,,0.000000,96.114849,0,127,0,0,,1.000000
30,,0.000000,0.358271,0,127,0,0,,1.000000
29,,0.000000,0.264041,0,127,0,0,,1.000000
28,,0.000000,71.209968,0,127,0,0,,1.000000
27,,0.000000,22513.339826,0,126,0,0,,1.000000
26,,0.000000,22820.000000,0,127,0,0,,1.000000
25,,83.960600,219.772000,0,6,0,0,yes,1.000000
24,,208.627000,696.257000,0,34,0,0,yes,1.000000
23,,111.385700,465.901000,0,37,0,0,yes,1.000000
22,,47.074880,190.246100,0,22,0,0,yes,1.000000
21,,25.215290,128.391700,0,21,0,0,yes,1.000000
20,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,8000.000000,20000.000000,0,2,0,0,yes,1.000000
18,,3000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,15000.000000,40000.000000,0,3,0,0,yes,1.000000
16,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,11000.000000,50000.000000,0,5,0,0,yes,1.000000
14,,17000.000000,40000.000000,0,3,0,0,yes,1.000000
13,,7000.000000,60000.000000,0,4,0,0,yes,1.000000
12,,4000.000000,10000.000000,0,1,0,0,yes,1.000000
11,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,1000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,1527000.000000,9160000.000000,0,5,0,0,yes,1.000000
8,,155863000.000000,338300000.000000,0,20,0,0,yes,1.000000
7,,141523000.000000,555580000.000000,0,37,0,0,yes,1.000000
6,,10969000.000000,16230000.000000,0,16,0,0,yes,1.000000
5,,1726000.000000,9660000.000000,0,9,0,0,yes,1.000000
4,,1458000.000000,6790000.000000,0,13,0,0,yes,1.000000
3,,1713000.000000,3930000.000000,0,2,0,0,yes,1.000000
2,,17408000.000000,33540000.000000,0,10,0,0,yes,1.000000
1,,79138000.000000,468680000.000000,0,22,0,0,yes,1.000000
