"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
26,,79878.500000,82279.236492,0,57,0,0,yes,1.000000
25,,167.921300,181.878000,0,3,0,0,yes,1.000000
24,,417.253680,418.587000,0,18,0,0,yes,1.000000
23,,222.771060,228.336000,0,18,0,0,yes,1.000000
22,,94.149760,96.893000,0,11,0,0,yes,1.000000
21,,50.430578,54.925400,0,9,0,0,yes,1.000000
20,,4000.000000,20000.000000,0,2,0,0,yes,1.000000
19,,16000.000000,20000.000000,0,2,0,0,yes,1.000000
18,,6000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,30000.000000,60000.000000,0,6,0,0,yes,1.000000
16,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,22000.000000,30000.000000,0,1,0,0,yes,1.000000
14,,34000.000000,80000.000000,0,6,0,0,yes,1.000000
13,,14000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,8000.000000,10000.000000,0,1,0,0,yes,1.000000
11,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,3054000.000000,6170000.000000,0,1,0,0,yes,1.000000
8,,311726000.000000,372930000.000000,0,15,0,0,yes,1.000000
7,,283046000.000000,430390000.000000,0,12,0,0,yes,1.000000
6,,21938000.000000,34820000.000000,0,8,0,0,yes,1.000000
5,,3452000.000000,6510000.000000,0,3,0,0,yes,1.000000
4,,2916000.000000,4770000.000000,0,9,0,0,yes,1.000000
3,,3426000.000000,4900000.000000,0,3,0,0,yes,1.000000
2,,34816000.000000,46380000.000000,0,7,0,0,yes,1.000000
1,,158276000.000000,228770000.000000,0,10,0,0,yes,1.000000
