"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
26,,79878.500000,79935.849828,0,59,0,0,yes,1.000000
25,,167.921300,174.412000,0,4,0,0,yes,1.000000
24,,417.253680,434.270000,0,20,0,0,yes,1.000000
23,,222.771060,222.988000,0,17,0,0,yes,1.000000
22,,94.149760,97.206900,0,11,0,0,yes,1.000000
21,,50.430578,50.611500,0,8,0,0,yes,1.000000
20,,4000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,16000.000000,20000.000000,0,2,0,0,yes,1.000000
18,,6000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,30000.000000,40000.000000,0,4,0,0,yes,1.000000
16,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,22000.000000,40000.000000,0,2,0,0,yes,1.000000
14,,34000.000000,80000.000000,0,6,0,0,yes,1.000000
13,,14000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,8000.000000,10000.000000,0,1,0,0,yes,1.000000
11,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,3054000.000000,6170000.000000,0,1,0,0,yes,1.000000
8,,311726000.000000,589450000.000000,0,12,0,0,yes,1.000000
7,,283046000.000000,451490000.000000,0,16,0,0,yes,1.000000
6,,21938000.000000,29660000.000000,0,10,0,0,yes,1.000000
5,,3452000.000000,3650000.000000,0,5,0,0,yes,1.000000
4,,2916000.000000,3910000.000000,0,7,0,0,yes,1.000000
3,,3426000.000000,3930000.000000,0,2,0,0,yes,1.000000
2,,34816000.000000,45690000.000000,0,5,0,0,yes,1.000000
1,,158276000.000000,371490000.000000,0,12,0,0,yes,1.000000
